models,r2_score
LinearSVR,0.796825588202743
LinearRegression,-1.4843686026771376e+20
VotingRegressor,-1.6492984474197787e+19
StackingRegressor,0.567188196826871
HistGradientBoostingRegressor,0.6754127808527521
BaggingRegressor,0.8663354790516667
AdaBoostRegressor,0.850637827124239
ExtraTreesRegressor,0.9253701787824837
GradientBoostingRegressor,0.872864245057303
DecisionTreeRegressor,0.9309752899289034
