Adjusted R-Squared,R-Squared,RMSE,Time Taken
-0.4828758325670768,0.4020844959733363,0.027143605924937295,2.3600709438323975
-0.7268629278515406,0.30370561363598936,0.02929166651156013,12.513410806655884
-0.776279772855492,0.2837800762855055,0.029707823367488787,0.587740421295166
-0.9400872429371541,0.21773069852495774,0.031047438671658822,0.20654869079589844
-1.012094712877205,0.1886963169959548,0.03161836130392754,2.255122661590576
-1.0273048537302034,0.18256338338499056,0.03173764353355185,2.7084760665893555
-1.03826784000906,0.17814295969030247,0.031823341111941836,0.60903000831604
-1.3335258225596975,0.059090965195898515,0.03405034005204164,0.3274393081665039
-1.3523134256085743,0.0515155506536199,0.03418713772370355,0.20484113693237305
-1.375166028256991,0.04230107353371515,0.03435279948025684,0.27971529960632324
-1.3782177986885107,0.04107055860073061,0.03437486177037283,0.9577367305755615
-1.4062118689505656,0.029782972504247773,0.034576583632965306,1.0219111442565918
-1.4130528055161702,0.027024614761268828,0.03462569990923999,0.23249197006225586
-1.4872442074384806,-0.0028903575517056357,0.03515396872021908,8.398157119750977
-1.487244207438481,-0.0028903575517058577,0.03515396872021908,0.18012595176696777
-1.487244207438481,-0.0028903575517058577,0.03515396872021908,0.1364600658416748
-1.487244207438481,-0.0028903575517058577,0.03515396872021908,0.620466947555542
-1.487244207438481,-0.0028903575517058577,0.03515396872021908,0.2125411033630371
-1.487244207438481,-0.0028903575517058577,0.03515396872021908,0.10222983360290527
-1.487244207438481,-0.0028903575517058577,0.03515396872021908,8.297522783279419
-1.4892938931274933,-0.0037168184224858347,0.03516845056076938,2.2908613681793213
-1.4981070700097274,-0.00727041001922446,0.03523065131684761,1.2827048301696777
-1.5043018449463719,-0.00976822669222499,0.03527430653583186,28.569390058517456
-1.5469653871981333,-0.026970741433371304,0.03557350596550245,0.26088428497314453
-1.5504008933437001,-0.028355983773626692,0.03559748976493217,0.7423477172851562
-1.589135574700181,-0.04397432889594133,0.035866792798367325,0.5807654857635498
-1.720896604180719,-0.09710215027026692,0.036768098225107945,10.886984825134277
-1.7231710993385598,-0.09801925734615224,0.036783462901490115,13.221305847167969
-2.0172353206298363,-0.21658991122564952,0.03871860836917311,7.101935625076294
-2.9126835135034046,-0.5776466806551601,0.04409125982027493,1.3635358810424805
-3.8093063790592083,-0.9391770939282349,0.04888283332496562,0.6024370193481445
-4.358812355004476,-1.160745303050772,0.05159996688337453,2.181826591491699
-4.367259689936665,-1.1641513822468421,0.051640620533288446,0.250946044921875
-6.142533854954968,-1.8799658313399146,0.059571879408735186,0.21105289459228516
-9.991520749476193,-3.4319291774858103,0.07389993220028498,0.17146539688110352
-13.688569295101397,-4.922628935362232,0.0854289160885569,0.6026315689086914
-153.61624114626284,-61.34335048514195,0.2771677545217175,2.37841534614563
-2440947401.3522887,-984222861.310372,1101.2713944614522,0.1958775520324707
-1.9034842918051454e+27,-7.675104986850128e+26,972500417662.5853,0.49036431312561035
-1.9034842918051454e+27,-7.675104986850128e+26,972500417662.5853,0.39642906188964844
-7.898324914923705e+69,-3.1847109641658707e+69,1.9809916529767286e+33,130979.8236811161
-8.042276958667207e+86,-3.242754366654643e+86,6.321274654536595e+41,0.7448222637176514
