models,r2_score
LinearSVR,0.7986961431531183
LinearRegression,-1.4843686026771376e+20
VotingRegressor,-1.6492984474197787e+19
StackingRegressor,0.567188196826871
HistGradientBoostingRegressor,0.6754127808527521
BaggingRegressor,0.8744819092307723
AdaBoostRegressor,0.8816222016903199
ExtraTreesRegressor,0.9246647602216642
GradientBoostingRegressor,0.8612667361602981
DecisionTreeRegressor,0.9285421419839621
